Société,Ticker,Business_models
Elis SA,ELIS.PA,"Elis opère au sein des services circulaires spécialisés dans la location-entretien d’articles textiles, d’équipements d’hygiène et de bien-être pour les entreprises. Son modèle économique repose sur un système d’abonnements et de contrats longue durée, offrant une forte récurrence des revenus et une résilience en période de ralentissement économique.
En 2024, Elis a réalisé un chiffre d’affaires record de 4,57 milliards d’euros (+6,1 % par rapport à 2023), avec une croissance organique de +5,2 % et un EBITDA ajusté à 35,2 %. La répartition géographique des revenus est la suivante : France (30 %), Europe centrale (25 %), Scandinavie & Europe de l’Est (14 %), Royaume-Uni & Irlande (12 %), Amérique latine (10 %), Europe du Sud (9 %). La croissance a été particulièrement forte en Amérique latine (+8,7 %) et en Allemagne (+8 %), portée par une forte demande en workwear et services d’hygiène.
Elis poursuit une stratégie d’acquisitions ciblées, avec des opérations récentes aux Pays-Bas (Moderna, Wasned) et en Malaisie (Wonway) pour renforcer son réseau et pénétrer de nouveaux marchés, notamment le secteur du cleanroom. L’entreprise a également consolidé sa position en Espagne, Allemagne et Suisse avec trois acquisitions en 2025 représentant 50 millions d’euros de chiffre d’affaires supplémentaire.
Risque principal : Elis est exposé à l’inflation des coûts salariaux, aux fluctuations des devises, notamment en Amérique latine, et à la sensibilité du secteur hôtelier."
Emerson Electric Co.,EMR,"Emerson est un acteur reconnu des technologies et logiciels industriels, spécialisé dans l’automatisation, les solutions de mesure et contrôle, et les logiciels d’optimisation pour les industries hybrides, de process et discrètes. Son modèle repose sur une forte diversification sectorielle, une présence mondiale et des solutions intégrées permettant aux entreprises d’optimiser leurs opérations et d’atteindre leurs objectifs en matière de durabilité et de digitalisation.
En 2024, Emerson a réalisé un chiffre d’affaires de 17,5 milliards de dollars (+15 % par rapport à 2023), avec une croissance organique de 6 % et une marge EBITA ajustée de 26 %. La répartition des revenus par segment est la suivante : Intelligent Devices (70 %), Software & Control (30 %). La croissance a été soutenue par l'intégration réussie de Test & Measurement, qui a généré 100 millions de dollars de synergies dès la première année.
Géographiquement, l’Amérique (58 % des revenus), l’Europe (25 %) et l’Asie, Moyen-Orient & Afrique (17 %) constituent les principaux marchés. Emerson renforce son positionnement stratégique dans l’automatisation industrielle, avec une montée en puissance de sa branche logicielle AspenTech, qui contribue fortement à la croissance et aux marges du groupe.
Risque principal : Emerson est exposé à la cybercriminalité et aux risques réglementaires liés aux technologies critiques. La hausse des coûts de développement technologique et des acquisitions, ainsi que les fluctuations monétaires et géopolitiques, peuvent impacter ses marges et sa compétitivité."
Engie SA,ENGI.PA,"Engie est un leader mondial de l’énergie, spécialisé dans la production et la distribution d’électricité, de gaz et de solutions énergétiques décarbonées. Son modèle économique repose sur la transition énergétique, l’expansion des énergies renouvelables et les infrastructures de réseaux.
En 2024, Engie a généré un chiffre d’affaires de 45,5 milliards d’euros, avec un EBITDA (hors nucléaire) de 10,4 milliards d’euros (-6 % par rapport à 2023) et une marge opérationnelle solide. La répartition des revenus se structure autour de quatre segments principaux. Les renouvelables représentent 25 % des revenus, avec 43,7 GW de capacités installées et 7,2 GW en construction. Les réseaux comptent pour 22 %, avec une expansion significative, notamment un nouveau projet de 1 000 km de lignes haute tension au Brésil. Les solutions énergétiques pèsent 18 %, englobant les services d’optimisation et d’efficacité énergétique pour les entreprises et collectivités. Enfin, Flex Gen & Retail représente 35 %, avec la production d’électricité à partir de gaz et de nucléaire, ainsi que la commercialisation d’énergie.
La répartition géographique des revenus est bien diversifiée avec 60 % en Europe, 20 % en Amérique latine, 10 % en Amérique du Nord et 10 % dans d’autres marchés.
Risque principal : Engie est exposé à la volatilité des prix de l’énergie, aux contraintes réglementaires liées au nucléaire et à la rentabilité de ses investissements dans les énergies renouvelables, qui nécessitent des capitaux importants et une visibilité sur les tarifs à long terme."
EssilorLuxottica SA,EL.PA,"EssilorLuxottica est un leader mondial de l’optique, intégrant la conception, la fabrication et la distribution de verres correcteurs, montures et lunettes de soleil. Son modèle repose sur une intégration verticale unique, lui permettant de contrôler l’ensemble de la chaîne de valeur, de la fabrication des verres et montures jusqu’à la distribution via un réseau de magasins en propre et partenaires.
En 2024, l’entreprise a généré un chiffre d’affaires de 19,7 milliards d’euros (+4,9 % à taux de change constants). La répartition des revenus se divise en deux segments principaux. Le segment Professional Solutions (9,4 milliards d’euros, +4,5 %) regroupe la vente de verres et montures aux opticiens et professionnels de l’optique. Le segment Direct to Consumer (10,3 milliards d’euros, +5,3 %) concerne la vente directe via son réseau de plus de 17 600 magasins et ses plateformes e-commerce.
Géographiquement, l’Europe (37 % des revenus, +7,3 %) et l’Asie-Pacifique (12 %, +7,7 %) sont les zones les plus dynamiques, tandis que l’Amérique du Nord (45 %, +1,6 %) et l’Amérique latine (6 %, +10,1 %) affichent une croissance plus modérée. La marque Ray-Ban Meta et les innovations comme Transitions Gen S et Stellest pour la myopie contribuent fortement à la croissance.
Risque principal : EssilorLuxottica est exposé aux fluctuations des devises, à la sensibilité des ventes aux cycles économiques et à l’intensification de la concurrence, notamment sur le segment des ventes en ligne et des lunettes connectées"
Euronext NV,ENX.PA,"Euronext est l'opérateur incontournable des bourses en Europe, intégrant des places financières situées à Amsterdam, Bruxelles, Dublin, Lisbonne, Milan, Oslo et Paris. Son modèle repose sur la diversification des services financiers et une forte intégration transfrontalière, offrant une large gamme de services, notamment le listing d'entreprises, le trading de produits financiers et la gestion de données de marché.
En 2024, le groupe a enregistré un chiffre d’affaires semestriel de 788,7 millions d’euros (+9,9 %), réparti autour de cinq principales sources de revenus. Le trading (36 %) génère des revenus grâce aux transactions sur actions, dérivés, et obligations. Le post-trade (27 %) inclut les activités de compensation et de règlement-livraison. Le listing (15 %) regroupe les introductions en bourse et services aux émetteurs. Les services avancés de données (15 %) fournissent des informations financières aux investisseurs, et les solutions technologiques (7 %) comprennent des services de développement et de maintenance IT.
La répartition géographique est dominée par l’Europe (95 % des revenus), avec l’Italie, la France et les Pays-Bas parmi les principaux marchés, et des activités supplémentaires aux États-Unis et en Nouvelle-Zélande. Le groupe poursuit également sa stratégie d’acquisition, renforçant sa position dans l’administration d’indices avec l’achat de Global Rate Set Systems Ltd.
Risque principal : Euronext est exposé à la volatilité des marchés financiers, aux fluctuations réglementaires sur les places financières européennes, et à la concurrence accrue des plateformes numériques qui perturbent le modèle traditionnel de trading et d’échanges. Les évolutions technologiques rapides représentent également un défi stratégique pour le maintien de son leadership."
Gaztransport et Technigaz SA,GTT.PA,"GTT est un leader des technologies de confinement pour le transport et le stockage des gaz liquéfiés, notamment le GNL et l’éthane. Son modèle repose sur l’innovation, la diversification vers l’hydrogène et le développement de solutions numériques pour l’optimisation énergétique des navires.
En 2024, GTT a généré 464,7 millions d’euros de chiffre d’affaires (+54,9 % vs 2023), porté par une demande record de méthaniers et d’éthaniers. Son carnet de commandes atteint un niveau historique avec 82 nouveaux contrats, dont 12 porte-conteneurs au GNL et les premiers Ultra Large Ethane Carriers (ULEC).
GTT accélère dans l’hydrogène liquide, développant un système de confinement cryogénique validé par TotalEnergies, Bureau Veritas et ClassNK. En collaboration avec le CERN, il explore des solutions pour une chaîne d’approvisionnement maritime en LH₂. Cependant, face aux défis du marché de l’hydrogène vert, GTT a annoncé en 2025 une révision stratégique de sa filiale Elogen, spécialisée dans les électrolyseurs.
Risque principal : GTT est exposé à la volatilité des prix du GNL, à la concurrence des alternatives énergétiques et à une dépendance aux chantiers navals asiatiques, tout en devant répondre à des réglementations environnementales de plus en plus strictes."
Groupe Bruxelles Lambert,GBLB.BR,"GBL est une holding d’investissement européenne dont le modèle repose sur une stratégie d’investissement à long terme et une gestion active de participations dans des entreprises cotées et non cotées. Le groupe mise sur la diversification de son portefeuille pour générer de la croissance et créer de la valeur pour ses actionnaires.
En 2024, GBL affiche un actif net réévalué (ANR) de 15,8 milliards d’euros, avec un portefeuille équilibré entre actifs cotés (61 %), actifs privés (20 %), GBL Capital (18 %) et Sienna Investment Managers (<1 %). Parmi ses principales participations figurent SGS (18 % du portefeuille), Pernod Ricard (13 %), adidas (13 %), Imerys (10 %), Umicore (5 %) et Concentrix (3 %). Son portefeuille privé comprend des entreprises comme Affidea (8 %), Sanoptis (5 %), Canyon (2,7 %), Parques Reunidos (1,8 %) et Voodoo (1,8 %).
Géographiquement, ses investissements sont répartis en France (25 %), Suisse (24 %), Allemagne (15 %), Pays-Bas (8 %), Belgique (4 %), Espagne (2 %), États-Unis (3 %) et autres marchés (19 %).
GBL a adopté une gestion dynamique de ses actifs, avec une rotation de 33 milliards d’euros depuis 2012. En 2024, il a réduit sa participation dans adidas de 7,6 % à 5,1 %, générant une plus-value de 630 millions d’euros. Le groupe a également renforcé son engagement dans les services de santé avec Affidea et Sanoptis, et a acquis une participation dans le réseau social BeReal via Voodoo.
Risque principal : GBL est exposé à la volatilité des marchés financiers, à la décote de son actif net réévalué (41,5 % au 30 juin 2024) et aux fluctuations macroéconomiques, notamment en raison de sa forte exposition aux actions cotées. L’évolution des taux d’intérêt et la gestion de son endettement net (1,2 milliard d’euros, Loan to Value de 7,4 %) sont également des facteurs clés à surveiller."
Hitachi Ltd.,6501.T,"Hitachi est un conglomérat technologique diversifié, opérant dans les secteurs des services numériques, de l’énergie, de la mobilité et de l’industrie connectée. Son modèle repose sur l’innovation technologique, la digitalisation industrielle et l’expansion de solutions durables.
En 2024, Hitachi a généré 9 700 milliards de yens (+13 % vs 2023), avec un EBITA ajusté de 1 100 milliards de yens (+19,8 %) et un ROIC de 9,8 %. Le groupe est structuré en trois divisions principales. Digital Systems & Services (DSS) (29 % des revenus) englobe les services informatiques, cloud et cybersécurité, avec une forte croissance dans les solutions IA et cloud (+10 %). Green Energy & Mobility (GEM) (39 % des revenus) couvre les énergies renouvelables, la mobilité ferroviaire et les infrastructures électriques, avec un essor des solutions de réseaux intelligents et d’électrification des transports. Connective Industries (CI) (32 % des revenus) inclut les systèmes industriels, la santé et les solutions de bâtiment, avec une forte demande en analyse de données et automatisation.
Géographiquement, l’Amérique du Nord (15 %), l’Europe (21 %), le Japon (36 %), la Chine (12 %) et le reste de l’Asie (16 %) composent son marché. La croissance est portée par la digitalisation industrielle, la modernisation des infrastructures énergétiques et la demande en solutions de transport bas carbone. Hitachi poursuit sa transformation avec des acquisitions stratégiques, notamment dans le rail avec Thales GTS et dans l’énergie avec Hitachi Energy.
Risque principal : Hitachi est exposé aux contraintes réglementaires sur l’énergie et la mobilité, aux fluctuations monétaires, et à une intense concurrence dans les services numériques et industriels. Son niveau d’endettement (1 791 milliards de yens) et ses investissements massifs nécessitent une gestion rigoureuse pour maintenir sa rentabilité."
Hyundai Mobis Co. Ltd.,012330.KS,"Hyundai Mobis est un acteur clé de l’industrie automobile, spécialisé dans la fabrication de modules automobiles, de composants électroniques avancés et de solutions de mobilité. Son modèle repose sur une intégration verticale forte avec Hyundai Motor Group, une innovation technologique dans l’électrification et un investissement massif dans l’automatisation et l’IA appliquée aux véhicules autonomes.
En 2024, Hyundai Mobis a réalisé un chiffre d’affaires de 48 000 milliards de wons (+8 % vs 2023) avec une marge opérationnelle de 7,2 %. Son activité est segmentée en trois pôles principaux. Les modules automobiles (45 % des revenus) comprennent les châssis, systèmes de freinage et intérieurs de véhicules. Les composants électroniques (40 % des revenus) englobent les batteries, systèmes d’assistance à la conduite (ADAS) et écrans numériques, en forte croissance avec l’essor des véhicules électriques et autonomes. L’après-vente et les pièces détachées (15 % des revenus) assurent une récurrence des revenus grâce à un réseau mondial de distribution.
Géographiquement, l’Asie (55 %), l’Amérique du Nord (25 %) et l’Europe (15 %) dominent les ventes, avec une accélération en Amérique du Nord grâce à l’implantation de nouvelles usines de batteries et de composants électroniques. Hyundai Mobis renforce également ses capacités en logiciels embarqués et en intelligence artificielle pour améliorer l’autonomie des véhicules et l’efficacité énergétique.
Risque principal : Hyundai Mobis est exposé aux fluctuations du marché automobile, à la hausse des coûts des matières premières et à la dépendance à Hyundai et Kia (80 % des ventes). La transition vers les véhicules électriques et autonomes, bien que stratégique, nécessite des investissements massifs et une gestion fine des coûts de production."
Iberdrola SA,IBE.MC,"Iberdrola est un leader mondial de l’énergie renouvelable et des infrastructures électriques, opérant principalement dans la production, la distribution et la commercialisation d’électricité. Son modèle repose sur la croissance des énergies renouvelables, l’expansion des réseaux électriques et le développement du stockage d’énergie.
En 2024, Iberdrola a réalisé un chiffre d’affaires de 33,1 milliards d’euros, avec un EBITDA de 13,3 milliards d’euros (+23 %) et un résultat net de 5,47 milliards d’euros (+50 %). L’activité se structure autour de deux principaux segments. Les réseaux (37 % des revenus, +11 % vs 2023) bénéficient d’une hausse des tarifs réglementés aux États-Unis et au Royaume-Uni. La production et la fourniture d’énergie (63 % des revenus, +11 %) sont portées par une capacité de production décarbonée de 85 % et la montée en puissance de l’éolien offshore.
Géographiquement, l’Europe (41 %), l’Amérique du Nord (27 %), l’Amérique latine (24 %) et d’autres régions (8 %) constituent les principaux marchés. Iberdrola a investi 8,6 milliards d’euros en 2024 (+12 %), principalement dans les énergies renouvelables et les infrastructures. Le groupe renforce son expansion dans l’éolien offshore avec 1 GW de nouveaux projets au Royaume-Uni et 800 MW aux États-Unis.
Risque principal : Iberdrola est exposé à la volatilité des prix de l’électricité, aux régulations énergétiques dans ses principaux marchés et aux délais administratifs liés au développement des infrastructures. L’endettement net ajusté atteint 46,7 milliards d’euros, nécessitant une gestion stricte des investissements et des flux de trésorerie."
Intercontinental Hotels Group Plc,IHG.L,"IHG est un acteur majeur de l’hôtellerie mondiale, opérant un modèle asset-light basé sur la franchise et la gestion hôtelière, avec un portefeuille de 19 marques allant de l’économique au luxe. Son modèle repose sur la croissance du réseau hôtelier, l’optimisation des revenus par chambre (RevPAR) et l’expansion des programmes de fidélité.
En 2023, IHG a réalisé un chiffre d’affaires de 4,6 milliards de dollars (+19 % par rapport à 2022) et un bénéfice opérationnel de 1,07 milliard de dollars (+23 %). Le groupe a atteint 6 300 hôtels ouverts et une croissance nette du réseau de 3,8 %. Les revenus sont générés par les franchises (72 % des hôtels), la gestion hôtelière (28 %) et un nombre limité d’hôtels en propriété (<1 %).
La répartition géographique des revenus est dominée par les Amériques (61 %), suivies par l’Europe, le Moyen-Orient, l’Afrique et l’Asie-Pacifique (EMEAA) (28 %) et la Grande Chine (11 %). La croissance est soutenue par l’expansion des marques premium et luxe, qui représentent désormais 22 % du pipeline. IHG a aussi renforcé son programme de fidélité IHG One Rewards, qui compte plus de 130 millions de membres et génère 55 % des réservations.
Risque principal : IHG est exposé à la concurrence accrue des plateformes numériques et des autres groupes hôteliers, aux fluctuations du tourisme et de l’économie mondiale, et aux contraintes liées aux réglementations environnementales. L’augmentation des coûts d’exploitation pour les franchisés et la nécessité d’investir dans la digitalisation et les infrastructures durables restent des défis majeurs."
International Business Machines Corp.,IBM,"IBM est un acteur majeur des technologies et des services numériques, spécialisé dans l’IA, le cloud hybride, la cybersécurité et l’automatisation. Son modèle repose sur l’innovation dans l’intelligence artificielle, l’optimisation des infrastructures IT et la transformation digitale des entreprises.
En 2024, IBM a réalisé un chiffre d’affaires de 62,8 milliards de dollars (+3 % à taux de change constant) et un free cash-flow record de 12,7 milliards de dollars. La répartition des revenus est dominée par le logiciel (43 %), le consulting (33 %) et l’infrastructure (22 %). Le segment Software (+9 % de croissance) est porté par Red Hat (+17 %), l’IA et l’automatisation. Consulting (-1 %) souffre d’un ralentissement des investissements IT, malgré une forte dynamique dans les solutions IA. Infrastructure (-3 %) est impactée par la fin du cycle produit IBM Z, mais bénéficie d’une adoption croissante des solutions cloud et stockage.
IBM accélère dans l’IA générative, avec un carnet de commandes de 5 milliards de dollars, et investit dans ses plateformes Watsonx et OpenShift AI. L’entreprise a réalisé plusieurs acquisitions stratégiques, notamment Neural Magic et HashiCorp, pour renforcer ses solutions d’optimisation d’IA et de gestion du cloud hybride.
Risque principal : IBM est exposé aux cycles d’investissement IT, à la forte concurrence dans l’IA et le cloud et à l’évolution des régulations sur la cybersécurité et les données. Son endettement de 55 milliards de dollars nécessite une gestion prudente pour maintenir sa rentabilité et ses investissements en R&D."
Komatsu Ltd.,6301.T,"Komatsu est un leader mondial des équipements de construction, d’exploitation minière et de solutions technologiques industrielles. Son modèle repose sur l’automatisation, la digitalisation des chantiers et la transition vers des équipements bas carbone. L’entreprise mise sur l’optimisation des opérations clients grâce à des solutions intelligentes et connectées, ainsi qu’un engagement fort envers la durabilité et l’innovation technologique.
En 2024, Komatsu a réalisé un chiffre d’affaires de 3 865 milliards de yens (+9,1 % par rapport à 2023) et un bénéfice opérationnel de 607,2 milliards de yens (+23,7 %). Son activité est segmentée en équipements de construction et miniers (91 % des revenus), financement (3 %) et équipements industriels (6 %). La croissance est portée par la demande en équipements autonomes et électrifiés, ainsi que par l’expansion des services après-vente.
Géographiquement, les revenus se répartissent entre l’Asie (46 %), l’Amérique du Nord (25 %), l’Europe (15 %), l’Amérique latine (8 %) et d’autres marchés (6 %). Komatsu investit massivement dans la digitalisation des chantiers avec Smart Construction, dans l’électrification de ses machines, et dans le développement de solutions autonomes pour l’exploitation minière. L’entreprise a également acquis American Battery Solutions pour accélérer ses capacités en batteries et signé un partenariat avec General Motors pour développer des camions miniers à hydrogène.
Risque principal : Komatsu est exposé aux fluctuations de la demande en équipements miniers et de construction, à la hausse des coûts des matières premières et des taxes carbone, ainsi qu’à la concurrence accrue dans les solutions autonomes et bas carbone. La transition énergétique impose aussi des investissements lourds en R&D, nécessitant une gestion rigoureuse des coûts."
Macquarie Group Ltd.,MQG.AX,"Macquarie Group est un conglomérat financier mondial opérant dans l’asset management, la banque d’investissement, les marchés de matières premières, le financement spécialisé et les énergies renouvelables. Son modèle repose sur une diversification des activités, une gestion dynamique des investissements et une forte présence internationale.
En 2024, le groupe a réalisé un bénéfice net de 3,52 milliards AUD (-32 % vs 2023) et un revenu opérationnel de 16,9 milliards AUD (-12 % vs 2023). Son activité est segmentée en quatre divisions principales. Macquarie Asset Management (19 % des revenus) gère 938,3 milliards AUD d’actifs (+7 %), avec une forte exposition aux infrastructures et aux énergies renouvelables. Banking and Financial Services (16 % des revenus) a enregistré une croissance des dépôts (+10 %) et des prêts immobiliers (+10 %). Commodities and Global Markets (39 % des revenus), bien que performant, a vu son bénéfice chuter de 47 % en raison d’une baisse de la volatilité des marchés. Macquarie Capital (8 % des revenus) a affiché une hausse de 31 %, portée par l’essor du private equity et du private credit.
Géographiquement, l’Australie et la Nouvelle-Zélande (34 %), les Amériques (34 %), l’Europe-Moyen-Orient-Afrique (23 %) et l’Asie (9 %) constituent ses principaux marchés. Macquarie continue d’investir massivement dans les infrastructures, la transition énergétique et la digitalisation des services financiers. Avec 110 GW de projets d’énergie propre en cours, le groupe se positionne comme un acteur majeur du financement de la transition énergétique.
Risque principal : Macquarie est exposé à la volatilité des marchés financiers, aux fluctuations des taux d’intérêt et aux régulations financières accrues. Son modèle basé sur les services bancaires et d’investissement nécessite une gestion rigoureuse du risque et du capital, particulièrement dans un contexte de ralentissement des fusions-acquisitions et de baisse de la volatilité sur les matières premières."
Nippon Sanso Holdings Corp.,4091.T,"Nippon Sanso Holdings (NSHD) est un acteur majeur des gaz industriels, spécialisé dans la production, la distribution et les solutions technologiques pour les secteurs industriels, électroniques et énergétiques. Son modèle repose sur l’innovation en matière de gaz industriels, l’expansion des infrastructures de production et la transition vers l’hydrogène et les solutions bas carbone.
En 2024, NSHD a généré un chiffre d’affaires de 1 300 milliards de yens (+3,6 % vs 2023) et un résultat net de 108 milliards de yens. Ses activités se répartissent entre le Japon (30 %), les États-Unis (28 %), l’Europe (26 %), l’Asie-Océanie (14 %) et Thermos (2 %). La division industrielle représente 91 % du chiffre d’affaires, suivie des équipements et installations (6 %) et des autres segments (3 %). La croissance est portée par la hausse des prix des gaz industriels, les nouvelles applications pour l’électronique et l’essor de l’hydrogène.
NSHD investit massivement dans les solutions hydrogène et les gaz industriels bas carbone, avec 45 % de ses investissements dédiés aux infrastructures liées à la transition énergétique. Le groupe a récemment acquis 51 % de Polaris, une entreprise italienne spécialisée dans les équipements de séparation et de purification des gaz, pour renforcer ses capacités en Europe.
Risque principal : Nippon Sanso est exposé à la volatilité des prix de l’énergie et des matières premières, aux régulations environnementales croissantes et à une forte concurrence sur le marché des gaz industriels et de l’hydrogène. L’endettement net atteint 917,6 milliards de yens, nécessitant une gestion rigoureuse des investissements."
Publicis Groupe SA,PUB.PA,"Publicis est un leader mondial de la communication et du marketing digital, spécialisé dans la publicité, les médias, le conseil en transformation digitale et l’activation des données clients. Son modèle repose sur l’intégration des données, de la technologie et de la créativité pour offrir des solutions marketing adaptées aux grandes marques.
En 2024, Publicis a réalisé un chiffre d’affaires net de 9,4 milliards d’euros (+5,3 % en organique), avec une marge opérationnelle de 17,8 %. Le groupe est structuré en trois grandes divisions. Epsilon et Publicis Sapient (32 % des revenus) génèrent une croissance rapide grâce à l’exploitation des données et du cloud marketing. Les services médias et créatifs (46 %) restent dominants avec des marques comme Saatchi & Saatchi et Leo Burnett. Le conseil et la transformation digitale (22 %) se développent fortement avec Sapient, offrant des services liés à l’IA générative et à l’automatisation du marketing.
Géographiquement, Publicis réalise 57 % de son chiffre d’affaires en Amérique du Nord, 30 % en Europe et 13 % dans le reste du monde. La croissance est portée par l’essor des investissements publicitaires numériques, l’adoption de l’IA marketing et l’expansion des services technologiques. Le groupe continue d’acquérir des entreprises spécialisées dans la data et l’intelligence artificielle pour renforcer son offre face à la concurrence de Google et Meta.
Risque principal : Publicis est exposé à la volatilité des budgets publicitaires des entreprises, à la concurrence accrue des plateformes numériques et aux évolutions réglementaires sur l’exploitation des données. "
Qualcomm Inc.,QCOM,"Qualcomm est un acteur majeur des semi-conducteurs et des technologies de communication, spécialisé dans les processeurs mobiles, l’intelligence artificielle embarquée, la connectivité 5G et l’Internet des objets (IoT). Son modèle repose sur l’innovation en microprocesseurs, l’extension de ses solutions vers l’automobile et l’IoT, ainsi que la monétisation de son portefeuille de brevets via ses licences. En 2024, Qualcomm a réalisé un chiffre d’affaires de 38,9 milliards de dollars (+9 % vs 2023) avec une croissance du résultat net de 21 % et un free cash-flow record de 11,2 milliards de dollars. Le groupe est structuré en deux principales divisions. QCT (85 % des revenus, 33,2 milliards de dollars) regroupe la vente de puces pour smartphones, IoT et automobiles, avec une forte croissance des revenus automobiles (+55 %). QTL (15 % des revenus, 5,6 milliards de dollars) gère les licences de brevets et la propriété intellectuelle liée aux communications sans fil, avec une marge bénéficiaire de 74 %.
Géographiquement, Qualcomm est fortement présent en Amérique du Nord, en Asie et en Europe, bénéficiant de l’adoption de ses solutions dans les smartphones (Snapdragon), les PC (Snapdragon X), les véhicules connectés et les infrastructures 5G. L’entreprise accélère également sur l’IA embarquée, avec des processeurs dédiés comme Snapdragon 8 Elite et Qualcomm Oryon, ciblant les véhicules autonomes, les casques XR et les assistants IA.
Risque principal : Qualcomm est exposé à la concurrence accrue des semi-conducteurs (Apple, MediaTek, Nvidia), à la dépendance aux ventes de smartphones premium, aux tensions géopolitiques entre les États-Unis et la Chine et aux évolutions réglementaires sur les brevets et licences. Son modèle nécessite une capacité constante à innover et à diversifier ses sources de revenus."
